condition,trial,beta,g,alpha,delay_ms,phi_final,phi_mean,phi_max,stability
TDAH,25,0.3837425099385887,1.7404583185659257,7.266237640735737e-12,117.45273799340265,3.183770503399497e-10,1.0706535074462511e-08,4.3155985255107866e-08,0.9999999871962294
TDAH,26,0.4505713895491228,1.5885849164596664,7.058211754575641e-12,119.55804743737161,1.708379574905897e-10,8.430343247298583e-09,3.593144813454358e-08,0.999999989137296
TDAH,27,0.4364292889397027,1.8386719933344307,8.040995251355954e-12,119.10004670932874,5.405229578100933e-10,1.316663370655531e-08,4.175258668861438e-08,0.9999999846864265
TDAH,28,0.45124970347240473,1.5702782044764876,7.076779398547132e-12,108.59005663101024,3.3138315166297886e-10,1.2812156114528598e-08,3.971242361378117e-08,0.9999999869294669
TDAH,29,0.3876145757907329,1.901976674827243,8.449911874313339e-12,104.4459564087488,1.6342275333200406e-10,7.388631696512791e-09,3.86442392094746e-08,0.9999999886740117
TDAH,30,0.38745776647269814,1.8415474117027752,7.945910566439105e-12,107.30544763189852,6.312357888077359e-11,8.310662203454294e-09,4.48176222521258e-08,0.9999999861884041
TDAH,31,0.4579624615058077,1.8214622018623634,8.399537072802368e-12,121.43593968009104,4.0888259556696665e-09,1.3220676961445078e-08,3.9562549066505626e-08,0.9999999900134316
TDAH,32,0.4631510765025687,1.6737220734756504,7.914942241295336e-12,110.0762868183233,2.2499046978438794e-09,1.3084941433403393e-08,3.73719324393374e-08,0.9999999908202036
TDAH,33,0.4648751906433037,1.8181024401580022,7.2167933817811216e-12,104.84018921495836,1.2670079964397974e-10,8.965327169580441e-09,4.2367914436777143e-08,0.999999986694508
TDAH,34,0.4102328945433899,1.8602147942136296,7.086767074346157e-12,105.50022125517448,2.4142255875488355e-10,7.761139002077718e-09,3.9764749590936746e-08,0.9999999882014005
TDAH,35,0.395952591827994,1.807505604608096,8.50570246175319e-12,110.06214151714255,1.0102179086537901e-08,1.2024837823668653e-08,3.4227809349732515e-08,0.999999992284366
TDAH,36,0.4566641984216108,1.6771209082677803,7.876075427368743e-12,121.38370356505638,2.094860137095354e-11,6.3899599614688965e-09,4.115567675097299e-08,0.9999999875720246
TDAH,37,0.3877305596613142,1.8132640740048662,8.555457156351602e-12,120.23305940974798,3.5183333598725205e-11,7.277535719102596e-09,3.8297244869915516e-08,0.9999999883194305
TDAH,38,0.45788327643795934,1.9113694432034334,7.464988224156462e-12,111.13221839046486,1.504396726892102e-10,9.36530513546114e-09,4.3716577691513305e-08,0.9999999864226683
TDAH,39,0.4146993141281596,1.6573814794215138,8.266388794069747e-12,115.79920265533455,8.843714797925251e-10,1.1450187970046361e-08,4.306428442445251e-08,0.9999999881897653
TDAH,40,0.3993085113316241,1.9050730421502038,7.978076595969894e-12,110.76476561801502,1.71837548729013e-10,1.2303499063464158e-08,3.95333300974151e-08,0.9999999848856835
TDAH,41,0.4402117514117238,1.6431413831352406,7.48888049747935e-12,120.31833797481387,1.4632760247092897e-11,6.3691087425972734e-09,3.8765305142654415e-08,0.9999999878493825
TDAH,42,0.4413420563463412,1.90857259685275,8.30310075034274e-12,121.22293427695132,1.8878342688460143e-09,1.006594877367468e-08,4.23178993253446e-08,0.999999988362606
TDAH,43,0.4609316813712597,1.5812347340740218,8.550172441369727e-12,122.01093473512266,5.531397574078783e-10,1.346773888477402e-08,3.9277102161602327e-08,0.9999999876841733
TDAH,44,0.4594259856486689,1.605692956329188,7.193452929645145e-12,110.27084051014002,2.890050697509389e-09,1.787547448897153e-08,3.789226069528866e-08,0.9999999905324647
TDAH,45,0.46024934744140883,1.6133557434763788,7.714714220422618e-12,118.68444066346959,1.751646901340499e-09,1.3477213976897819e-08,3.546649676633152e-08,0.9999999880107872
TDAH,46,0.3846795606216304,1.885413001095473,7.527865813419698e-12,114.97493416923967,4.171802827292957e-10,1.2263190259866237e-08,4.322022243917558e-08,0.9999999868566878
TDAH,47,0.4086366232518573,1.6611519110285935,7.161025216975541e-12,104.7357312747497,9.981060476040959e-11,6.979215784332026e-09,3.460912832343395e-08,0.9999999891523462
TDAH,48,0.4553817182394833,1.6643676947898924,8.289821522703239e-12,105.7669064213711,1.7744941766902767e-10,9.65113851432808e-09,4.412464618484491e-08,0.9999999867893297
TDAH,49,0.40233784595816097,1.5900983267434023,8.158579016338982e-12,114.92935820717906,1.7063410000126194e-10,9.030303178980754e-09,4.14505782009475e-08,0.9999999869633214
TDAH,50,0.39363070988436916,1.858756934806925,8.190821502693228e-12,112.66361555763426,7.284033569159417e-10,9.684888106042397e-09,4.024221585108471e-08,0.9999999885416387
TDAH,51,0.41687848780914105,1.743222387852975,7.487297408081725e-12,116.23142254888862,6.358919262494727e-11,8.75644064100986e-09,3.8468071501225655e-08,0.9999999871321928
TDAH,52,0.4159753589941684,1.8978077068994461,8.262941503110221e-12,115.38666833816814,1.4215292908081394e-10,8.70566033122729e-09,4.202740672286602e-08,0.9999999870817995
TDAH,53,0.4623457561429034,1.8008980293835792,7.1524973395304474e-12,114.25511454320295,1.7788508103703713e-10,9.104633743508483e-09,3.9961068918056823e-08,0.9999999875223694
TDAH,54,0.39218141839847137,1.7550838007751635,7.989671072150154e-12,103.3271262066226,2.0685868718849437e-09,2.140145989523418e-08,4.092088441681914e-08,0.9999999876647684
TDAH,55,0.4260674989661136,1.5858460644261363,7.523629329273683e-12,112.94287481899244,2.5470414259425282e-11,1.0202449815135816e-08,4.0125762561068856e-08,0.9999999862463973
TDAH,56,0.43529785560497675,1.6666238053581277,7.248442354861809e-12,120.21125192818836,1.9165128846814152e-10,9.237309267470867e-09,3.752528180604583e-08,0.9999999881658018
TDAH,57,0.3934550842480092,1.8164097068455571,7.46655107269167e-12,121.0647129401492,6.767130290685775e-10,1.1241448084417767e-08,4.211367650151158e-08,0.9999999875646025
TDAH,58,0.38335056080660534,1.8816497488366977,7.72893754775687e-12,113.30352053748234,2.7177882700183168e-11,7.373116432421852e-09,3.8491183406517163e-08,0.9999999881082843
